date,commodity,unit,pct_of_parity,pct_footnote,parity_price_ocr,parity_footnote,is_report_month,confidence,issues,source_pdf,source_page,raw_line,bbox_left,bbox_top,bbox_right,bbox_bottom,bbox_dpi
1935-09,corn,$/bushel,109,,5.84,,False,review_computed,"computed=109 (mkt=0.78, par=0.715075952170062); ocr_was=46",AgriPric-09-30-1996.pdf,22,"Corn, Bu : -411 5.84 6.23 6.19 46 69 58",473,1222,3029,1267,400
1936-08,corn,$/bushel,137,,6.23,,False,review_computed,"computed=137 (mkt=1.04, par=0.7611256830601093); ocr_was=69",AgriPric-09-30-1996.pdf,22,"Corn, Bu : -411 5.84 6.23 6.19 46 69 58",473,1222,3029,1267,400
1963-02,corn,$/bushel,73,,1.3,,False,review_computed,"computed=73 (mkt=1.09, par=1.5007308333333331); ocr_was=67",AgriPric-02-28-1964.pdf,5,"Corn, POY big ecccccconcccseccesess * 3 +498 1.3 1,56 1.56 67 70 69",535,1610,2944,1691,400
1963-03,corn,$/bushel,74,,,,False,review_computed,"pct values span wide range; computed=74 (mkt=1.1, par=1.495920798611111); ocr_was=67",AgriPric-03-31-1964.pdf,5,"Corn, per bac were, ot a tags iss aise tse 67 69 7",483,1564,2898,1664,400
1963-04,corn,$/bushel,73,,,,False,review_computed,"computed=73 (mkt=1.1, par=1.5007308333333331); ocr_was=69",AgriPric-05-28-1964.pdf,5,"Corn, per We ennccccsccccccrere, "" 3 248 1.59 31.56 1.56 69 73 74",345,1654,2876,1732,400
1963-08,corn,$/bushel,79,,,,False,review_computed,"computed=79 (mkt=1.19, par=1.5007308333333331); ocr_was=75",AgriPric-08-31-1964.pdf,5,"Corn, PEL Dita cccsccecsceseersvore ""3 2498 1.59 1.55 1.56 75 72 72",503,1670,3056,1729,400
1963-09,corn,$/bushel,81,,408.0,,False,review_computed,"only 2/3 pct values; computed=81 (mkt=1.21, par=1.495920798611111); ocr_was=76",AgriPric-09-30-1964.pdf,5,"Corn, per bis ecccccccersccccccese "" 2 0408 «108918862858 76 2 75",419,1614,2892,1695,400
1964-01,corn,$/bushel,76,,1.56,,False,review_computed,"computed=76 (mkt=1.12, par=1.469099295971002); ocr_was=70",AgriPric-02-28-1964.pdf,5,"Corn, POY big ecccccconcccseccesess * 3 +498 1.3 1,56 1.56 67 70 69",535,1610,2944,1691,400
1965-02,corn,$/bushel,82,,1055.0,,False,review_computed,"computed=82 (mkt=1.2, par=1.464393570536829); ocr_was=75",AgriPric-02-28-1966.pdf,5,"Corn, ner DUs cccrccecccctacccccccee "" 8 *475 1055 1.55 1.56 75 74 74",529,1590,2984,1669,400
1965-02,corn,$/bushel,82,,1.55,,False,review_computed,"pct values span wide range; computed=82 (mkt=1.2, par=1.464393570536829); ocr_was=75",AgriPric-03-30-1965.pdf,5,"Corny per Pie secerececcccecsane "" : 2468 1.56 1.55 1.55 7. 75 76",435,1700,2880,1753,400
1965-05,corn,$/bushel,84,,1.58,,False,review_computed,"computed=84 (mkt=1.26, par=1.4967303370786516); ocr_was=73",AgriPric-05-31-1966.pdf,5,"Corn, per bu. Cossegraceresenaseone ""3 2475 1.58 3.258 e538 73 73 75",409,1674,2940,1729,400
1965-05,corn,$/bushel,84,,1.61,,False,review_computed,"computed=84 (mkt=1.26, par=1.4967303370786516); ocr_was=78",AgriPric-05-31-1968.pdf,5,"Corn, per bu. meaegtoeoeoepabheoegaczen "" $ 464 1.61 1.64 1064 78 65 66",345,1734,2962,1795,400
